molecule_finger,predicted_bioactivity,true_bioactivity
00000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000101000000000000000000000000000011111100000000000000000000000000111111110000000000000000000000001111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000001111000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111100000000000000000000000001111110000000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000111100000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011011100000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111100000000000000000000111111111100000000000000000000000011011111100000000000000000000011111111000000000000000000000000111111110000000000000000000000001111111111110000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000000000000000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111000000000000000000000111111111100000000000000000000001111111100000000000000000000000011111110000000000000000000000000111111111110000000000000000000001111111111000000000000000000000010011000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000011110110000000000000000000000000111111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111000000000000000000000000000111111100000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000011110000000000000000000000000001111100000000000000000000000000011111100000000000000000000000000111111000000000000000000000000000111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000011010000000000000000000000000001111100000000000000000000000000011111110000000000000000000000000111111111100000000000000000000001111111111000000000000000000000001101000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111110000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1100100010101110000111101111110001011111000111001000110110000100001100111011101110100010000011010000000000001110001101010000101110011111000101101010000110111100001011100110000100101110110001001011110001001000111011110011000010100110100101011100010111100100010111111011010111110000011111011011011011011111001000101000110111011000011110000110111100010010000010110000011001010011011100001110110000100000000001101011101001101000000010010100111100111011000011011011110011100100011000011110111111001100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
