epochs: 20
batch_size: 32
dataset of size 100 for testing

Epoch  1  loss:  tensor(0.5261, grad_fn=<MeanBackward0>)
Epoch  1  loss:  tensor(0.5275, grad_fn=<MeanBackward0>)
Epoch  1  loss:  tensor(0.5269, grad_fn=<MeanBackward0>)
Epoch  2  loss:  tensor(0.5265, grad_fn=<MeanBackward0>)
Epoch  2  loss:  tensor(0.5265, grad_fn=<MeanBackward0>)
Epoch  2  loss:  tensor(0.5282, grad_fn=<MeanBackward0>)
Epoch  3  loss:  tensor(0.5258, grad_fn=<MeanBackward0>)
Epoch  3  loss:  tensor(0.5278, grad_fn=<MeanBackward0>)
Epoch  3  loss:  tensor(0.5269, grad_fn=<MeanBackward0>)
Epoch  4  loss:  tensor(0.5266, grad_fn=<MeanBackward0>)
Epoch  4  loss:  tensor(0.5263, grad_fn=<MeanBackward0>)
Epoch  4  loss:  tensor(0.5285, grad_fn=<MeanBackward0>)
Epoch  5  loss:  tensor(0.5275, grad_fn=<MeanBackward0>)
Epoch  5  loss:  tensor(0.5264, grad_fn=<MeanBackward0>)
Epoch  5  loss:  tensor(0.5263, grad_fn=<MeanBackward0>)
Epoch  6  loss:  tensor(0.5264, grad_fn=<MeanBackward0>)
Epoch  6  loss:  tensor(0.5273, grad_fn=<MeanBackward0>)
Epoch  6  loss:  tensor(0.5269, grad_fn=<MeanBackward0>)
Epoch  7  loss:  tensor(0.5260, grad_fn=<MeanBackward0>)
Epoch  7  loss:  tensor(0.5274, grad_fn=<MeanBackward0>)
Epoch  7  loss:  tensor(0.5274, grad_fn=<MeanBackward0>)
Epoch  8  loss:  tensor(0.5273, grad_fn=<MeanBackward0>)
Epoch  8  loss:  tensor(0.5262, grad_fn=<MeanBackward0>)
Epoch  8  loss:  tensor(0.5272, grad_fn=<MeanBackward0>)
Epoch  9  loss:  tensor(0.5282, grad_fn=<MeanBackward0>)
Epoch  9  loss:  tensor(0.5254, grad_fn=<MeanBackward0>)
Epoch  9  loss:  tensor(0.5272, grad_fn=<MeanBackward0>)
Epoch  10  loss:  tensor(0.5272, grad_fn=<MeanBackward0>)
Epoch  10  loss:  tensor(0.5265, grad_fn=<MeanBackward0>)
Epoch  10  loss:  tensor(0.5267, grad_fn=<MeanBackward0>)
Epoch  11  loss:  tensor(0.5272, grad_fn=<MeanBackward0>)
Epoch  11  loss:  tensor(0.5273, grad_fn=<MeanBackward0>)
Epoch  11  loss:  tensor(0.5251, grad_fn=<MeanBackward0>)
Epoch  12  loss:  tensor(0.5255, grad_fn=<MeanBackward0>)
Epoch  12  loss:  tensor(0.5285, grad_fn=<MeanBackward0>)
Epoch  12  loss:  tensor(0.5261, grad_fn=<MeanBackward0>)
Epoch  13  loss:  tensor(0.5275, grad_fn=<MeanBackward0>)
Epoch  13  loss:  tensor(0.5270, grad_fn=<MeanBackward0>)
Epoch  13  loss:  tensor(0.5251, grad_fn=<MeanBackward0>)
Epoch  14  loss:  tensor(0.5255, grad_fn=<MeanBackward0>)
Epoch  14  loss:  tensor(0.5277, grad_fn=<MeanBackward0>)
Epoch  14  loss:  tensor(0.5281, grad_fn=<MeanBackward0>)
Epoch  15  loss:  tensor(0.5255, grad_fn=<MeanBackward0>)
Epoch  15  loss:  tensor(0.5275, grad_fn=<MeanBackward0>)
Epoch  15  loss:  tensor(0.5285, grad_fn=<MeanBackward0>)
Epoch  16  loss:  tensor(0.5262, grad_fn=<MeanBackward0>)
Epoch  16  loss:  tensor(0.5269, grad_fn=<MeanBackward0>)
Epoch  16  loss:  tensor(0.5281, grad_fn=<MeanBackward0>)
Epoch  17  loss:  tensor(0.5277, grad_fn=<MeanBackward0>)
Epoch  17  loss:  tensor(0.5258, grad_fn=<MeanBackward0>)
Epoch  17  loss:  tensor(0.5274, grad_fn=<MeanBackward0>)
Epoch  18  loss:  tensor(0.5267, grad_fn=<MeanBackward0>)
Epoch  18  loss:  tensor(0.5270, grad_fn=<MeanBackward0>)
Epoch  18  loss:  tensor(0.5269, grad_fn=<MeanBackward0>)
Epoch  19  loss:  tensor(0.5277, grad_fn=<MeanBackward0>)
Epoch  19  loss:  tensor(0.5258, grad_fn=<MeanBackward0>)
Epoch  19  loss:  tensor(0.5274, grad_fn=<MeanBackward0>)
Epoch  20  loss:  tensor(0.5270, grad_fn=<MeanBackward0>)
Epoch  20  loss:  tensor(0.5271, grad_fn=<MeanBackward0>)
Epoch  20  loss:  tensor(0.5259, grad_fn=<MeanBackward0>)
training complete!
Mean MSE on Test Set : 0.5266129

real	0m48.016s
user	0m2.523s
sys	0m0.533s
