molecule_finger,predicted_bioactivity,true_bioactivity
00000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000101000000000000000000000000000011111100000000000000000000000000111111110000000000000000000000001111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000001111000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111100000000000000000000000001111110000000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000111100000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011011100000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111100000000000000000000111111111100000000000000000000000011011111100000000000000000000011111111000000000000000000000000111111110000000000000000000000001111111111110000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000000000000000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111000000000000000000000111111111100000000000000000000001111111100000000000000000000000011111110000000000000000000000000111111111110000000000000000000001111111111000000000000000000000010011000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000011110110000000000000000000000000111111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111000000000000000000000000000111111100000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000011110000000000000000000000000001111100000000000000000000000000011111100000000000000000000000000111111000000000000000000000000000111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000011010000000000000000000000000001111100000000000000000000000000011111110000000000000000000000000111111111100000000000000000000001111111111000000000000000000000001101000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111110000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0101110001101100000101101000011100101101001000100000100101110000100011001011001001011101110110011100110001001111000111111010100011001101001011000000111010101100100000100010000001010100001010001000101010111001011100001001011010100110111101000000011101000011101001100011011010011001101010110101011110001000110100010101100110011101101111110011010000111000110010110100110101101110101011111010110011010111010100111000001100001111001011100110100101100111100111010110001100110011001000100000010001001001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
