molecule_finger,predicted_bioactivity,true_bioactivity
00000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000101000000000000000000000000000011111100000000000000000000000000111111110000000000000000000000001111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000001111000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111100000000000000000000000001111110000000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000111100000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011011100000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011110000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111100000000000000000000111111111100000000000000000000000011011111100000000000000000000011111111000000000000000000000000111111110000000000000000000000001111111111110000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111000000000000000000000000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111111111000000000000000000000111111111100000000000000000000001111111100000000000000000000000011111110000000000000000000000000111111111110000000000000000000001111111111000000000000000000000010011000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000011110110000000000000000000000000111111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111000000000000000000000000000111111100000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111110000000000000000000000000011110000000000000000000000000001111100000000000000000000000000011111100000000000000000000000000111111000000000000000000000000000111111000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000011010000000000000000000000000001111100000000000000000000000000011111110000000000000000000000000111111111100000000000000000000001111111111000000000000000000000001101000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011111111110000000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000011111100000000000000000000000000000000000000000000000000000000001111110000000000000000000000000011111100000000000000000000000000000000000000000000000000000000001111100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0010001001111000101010100111010010001101110100100111100000111100101110011000011111000001000010111010100100010011010111000111100101010011101101011010111010110101100100101011001001000110100101100101100101100110000111110000110000011010001010110100011001110011011000010000010010011000010010000100111101011011000000100100110111010000111110100010011111100111001101111010001000111010110101010011011001011010100010010100110111011011110011100110011010001110110111101001100001011101010010110001000110111100,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
