moleculer_finger,predicted_bioactivity,true_bioactivity
0-1100-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-2000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
-1-1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-3000-111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20000000-10000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000
3100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
001-11-1000-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
101010001-1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1110101110010110010110010100111111000001000001000100110100010001110000100110110000110000110110111001111111010000111101101011101111101000110100010101100100100001000110010010100111000010001110111100001111100000001110011110101111110100011010101101111110001110011010010011010111101001100111000100101000011001000010101110110110111011100101100010101100000000100100010011000111111000000000101010100100100010111010011111110110000001011001111101111111110110010101111101111111010100011110000100101010101000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
